Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_427,2.102698703993653,1.285604281625213,1.0745899679725053,0.6114067979323269,0.5110527561231374,0.8358637127546346,0.4889472438768626,0.8475371830273626,16,29277,26159,12.92988165525682,5.833088574763623,1267662940.160386,[ 2.21237875 -2.09973773 -1.57146495],"[[-0.72909658 -0.29867955 -0.61579924]
 [ 0.23697783  0.73392376 -0.63655119]
 [ 0.64207452 -0.61003807 -0.46432087]]"
object_431,2.481749558740688,1.2743638335248317,0.9468998290870407,0.5134941312013291,0.3815452795194714,0.7430372741102982,0.6184547204805286,0.861778773681071,19,25415,22719,14.436829756763274,6.979704963406309,1088955286.237949,[-1.87464965 -0.03111036  1.25503402],"[[-0.10477868 -0.94155648 -0.32014502]
 [ 0.36622496 -0.3358256   0.8678136 ]
 [ 0.92460841  0.02631673 -0.38000884]]"
object_437,2.632089158618674,2.4287575808354713,1.1919308526460466,0.9227489778918008,0.4528459261127668,0.4907574399566188,0.5471540738872331,0.18685194648162623,18,18735,16786,13.760247874950878,6.547543045596953,784782120.4146991,[ 2.57376113 -3.35664993  1.47394875],"[[ 0.81422437  0.52977419 -0.23744049]
 [ 0.2720779  -0.70951167 -0.65005139]
 [-0.51284725  0.46468537 -0.72184154]]"
object_439,2.548569256115007,1.9363132000333978,1.0680766253721359,0.7597647956348177,0.4190887192134981,0.55160323513454,0.5809112807865019,0.5128282219023336,15,23447,20994,13.90328611680259,7.058144080981654,990071670.9833409,[ 1.61628433  2.92377942 -3.13132991],"[[-0.30752382  0.38599312 -0.86973468]
 [-0.85926478  0.28000554  0.42808986]
 [-0.40877027 -0.87898021 -0.24556193]]"
object_440,2.938930691724806,2.0819705590497914,1.274076936218015,0.7084109077196101,0.43351717677638807,0.6119572299809571,0.5664828232236119,0.6134426433372355,17,27762,24851,14.111692433932278,7.524432432375763,1185851786.5154748,[-1.29652246  1.63564473 -3.31839008],"[[-0.37705683  0.34520895 -0.85945269]
 [ 0.73967968 -0.44622619 -0.50374216]
 [-0.5574066  -0.82565911 -0.08709141]]"
object_444,2.7254587755552295,2.048851612884041,1.1855110347680133,0.7517455891317415,0.434976689209508,0.5786222034397324,0.5650233107904921,0.5363605092822733,19,28387,25431,15.257744578326099,8.038340568128552,1214069523.7812471,[-0.93425893  1.54008268 -0.84190175],"[[ 0.91654195  0.38754595  0.09878756]
 [-0.36240475  0.90926317 -0.20470291]
 [ 0.16915568 -0.15181773 -0.97382634]]"
object_446,1.9787385678060028,1.2438605169475723,0.907992554093378,0.6286128633590778,0.4588744409526253,0.7299794001996199,0.5411255590473747,0.7661763724852252,30,6996,6241,16.13589833718822,6.193311342331499,287099166.7559924,[-5.66311716  4.44973035  1.10472129],"[[ 0.80102684 -0.26931751  0.53462517]
 [-0.54613579 -0.69448842  0.46842452]
 [ 0.24513607 -0.66719856 -0.7033878 ]]"
object_452,2.552600739821598,2.3957627025594976,1.038531211920396,0.9385575523757539,0.4068521942029129,0.4334866766274005,0.5931478057970871,0.14273675081457182,11,24117,21612,14.617806610279738,6.834420196840523,1012913076.1119592,[-1.13344826 -2.49851453 -4.2865067 ],"[[-0.71041054  0.68697127 -0.1529292 ]
 [-0.20919371 -0.41359032 -0.88610442]
 [-0.67197831 -0.59750609  0.43752899]]"
object_456,1.945720493899596,1.2096755211093762,0.8386590187850915,0.6217108391991879,0.43102748900190613,0.6932925434549335,0.5689725109980939,0.753456278229891,30,23105,20645,11.745834190032328,5.752186095348039,989905138.6870327,[-1.89395688  0.32599136 -0.31131269],"[[ 0.42506011 -0.90493865  0.02024697]
 [-0.69357633 -0.31124504  0.64967561]
 [ 0.5816148   0.290194    0.75994188]]"
object_458,2.907030197435348,2.5276404197176747,1.153483904895195,0.8694923162296766,0.3967911671205983,0.4563481007413363,0.6032088328794016,0.2895746859951657,30,20022,17942,14.699286018905292,7.861451514698795,831210414.6830125,[-1.46769217 -3.47445609  8.42663195],"[[ 0.1473059   0.15010062 -0.9776353 ]
 [-0.0587199  -0.98534745 -0.16013236]
 [-0.98734642  0.08099509 -0.1363336 ]]"
object_459,1.780562829100601,1.0577892989638478,0.7792032067547812,0.5940758066359045,0.437616237978175,0.7366336637343994,0.562383762021825,0.8003467113513041,30,24496,21848,12.103717333891744,5.609220755099549,1043277012.6930755,[ 0.10362415 -0.4773617  -2.76188014],"[[-0.14316672 -0.79629836  0.5877178 ]
 [ 0.13854744 -0.60411304 -0.78476241]
 [ 0.97995301 -0.03092506  0.19681398]]"
object_460,2.163948135046517,2.0258945532374955,0.9474945619332303,0.9362029155998908,0.4378545615710252,0.4676919439953475,0.5621454384289748,0.1528227641861553,10,29363,26323,12.136023610858231,6.402136820659127,1239274389.709858,[-1.55404817 -0.23396813 -0.5407406 ],"[[ 0.08311063  0.72146153 -0.68744882]
 [ 0.79339898  0.36951186  0.4837138 ]
 [-0.60300139  0.58562295  0.54169648]]"
