Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_48,3.1071890953126595,2.804695271049543,1.3554326317585543,0.9026471144870318,0.4362247002614962,0.4832726912436868,0.5637752997385038,0.22875923693347533,6,819204,727948,13.161304668611544,5.444008385915075,41037833972.34722,[-0.18455705 -0.95240779  0.41019503],"[[-0.79278239  0.54693161 -0.26900168]
 [ 0.60036677  0.77686501 -0.18984333]
 [ 0.10514667 -0.31200412 -0.94424446]]"
object_49,17.05129999104137,3.77654611791363,3.156310795764244,0.2214814190060465,0.1851067541725585,0.8357665171339048,0.8148932458274415,0.9846857564162059,30,973182,860779,78.94771080034661,15.883109407062014,48321819876.45363,[-1.79861927 -6.03084053 -5.32270306],"[[ 0.20608944 -0.83761918  0.50588661]
 [ 0.84443806 -0.10897861 -0.52445021]
 [-0.49442037 -0.53527356 -0.68485817]]"
object_50,3.168224845439526,2.331750095924263,1.9576288528987746,0.735979991849594,0.6178945461262533,0.8395534565734868,0.3821054538737467,0.7413923627979625,6,694034,613004,13.2529624643801,3.7359212242404305,34429020558.57335,[1.04942421 0.52249075 0.08391706],"[[ 0.7465422  -0.09218507 -0.65892083]
 [-0.6546273  -0.2787576  -0.70267866]
 [-0.11890271  0.95592683 -0.26845117]]"
object_53,17.425050041195302,2.9212847104671464,1.9447636694099035,0.167648569361971,0.11160735061375462,0.6657220579841784,0.8883926493862454,0.984152761518667,13,773071,681865,52.99147731788673,14.198887498492738,38604740813.91558,[ 1.42499244 -7.24656846  3.57738902],"[[ 0.21617659 -0.83694799 -0.50277803]
 [ 0.30664471  0.54709815 -0.77887909]
 [-0.92695022 -0.0142012  -0.37491549]]"
object_55,3.4318777906115314,3.1154756543391375,1.1057521445976157,0.9078049523972083,0.32220032648673663,0.35492241547693,0.6777996735132634,0.19626504099315947,15,741298,657638,14.341572764215979,5.947532994454051,37137144734.53668,[-0.06433118  0.14958259  0.07083598],"[[-0.14391669 -0.98083937 -0.13130924]
 [-0.00515498  0.13343184 -0.99104459]
 [ 0.98957638 -0.14195096 -0.02425927]]"
object_56,3.344443497808022,3.0165648008552743,1.2009250945364442,0.9019631525640537,0.35908069468763376,0.39811015967432584,0.6409193053123663,0.2140636071490605,6,634755,561548,19.99879970795691,4.786631862589855,30927285439.38592,[-0.43544415 -0.49009133 -0.33970598],"[[-0.82999858  0.15027729  0.53713974]
 [ 0.3299467  -0.64416727  0.69006066]
 [-0.44970828 -0.74997685 -0.48507442]]"
object_60,3.317301810005535,2.6551789118991915,1.4414919918556837,0.8004031782368217,0.43453748691418537,0.5428982526923641,0.5654625130858146,0.44300402484923496,5,610042,543899,22.313537304443656,5.145391182025885,28358420903.748535,[0.5998489  0.796578   0.27174929],"[[-0.56494669 -0.73722892  0.37057894]
 [-0.82392351  0.4797759  -0.30160427]
 [-0.04455655  0.47571904  0.87846805]]"
object_61,3.569998155232151,3.3625075287881456,1.2089314465065948,0.9418793463128519,0.33863643451322173,0.3595327106798467,0.6613635654867782,0.12748228100434786,14,770131,682249,16.006002168415534,6.157877607963125,38138295106.08673,[ 0.17215557 -0.2766987   0.76465152],"[[-0.48988543  0.21162007 -0.84571225]
 [ 0.8699033   0.18239364 -0.45825846]
 [ 0.05727585 -0.96018202 -0.27344099]]"
object_63,9.917331231499013,4.891615941079704,3.133301410407409,0.4932391413471356,0.31594199460188926,0.6405452611465261,0.6840580053981107,0.8406258725511294,7,422643,375422,35.34195934860835,15.153040690182497,19748769806.29522,[0.38938774 2.36013841 3.49846914],"[[-0.72782912  0.64684604  0.22771687]
 [ 0.31588461  0.02150168  0.94855395]
 [ 0.60867207  0.76231744 -0.21997826]]"
object_64,1.964864504570208,1.7779379929560877,0.9397169692594152,0.904865444319781,0.47826044344211294,0.5285431623501083,0.5217395565578871,0.23496213352567283,6,502537,446959,9.610551778144977,2.7548130703721356,24648557137.685955,[0.57263034 0.41030038 0.29124794],"[[ 0.94893507  0.27324302  0.15767206]
 [-0.30011236  0.93594637  0.1842199 ]
 [-0.09723579 -0.22213206  0.97015594]]"
object_66,2.234529417134781,2.175076003538913,1.092987867293859,0.9733933180114038,0.4891355911059518,0.502505597742578,0.5108644088940482,0.06901833551734024,12,544001,480426,9.78496980048708,4.011560811947854,27174236814.41501,[-0.13006686  0.87396215  1.03291005],"[[-0.52562217 -0.05581503 -0.84888516]
 [ 0.52501014  0.76387746 -0.37530731]
 [-0.66939203  0.64294317  0.37220747]]"
object_71,5.706418323930236,3.4056242967906374,3.1149832721588924,0.5968059303519566,0.5458736277878556,0.9146585179975264,0.45412637221214436,0.9170976088484898,26,617204,549383,23.96237504181806,8.156706516973003,29893097581.414856,[ 1.0229932   1.95298798 -1.90435564],"[[-0.02097746 -0.65447421  0.75579326]
 [ 0.93057759 -0.28914064 -0.22455074]
 [ 0.36549321  0.69861377  0.61510447]]"
object_72,9.355231216518685,3.1656678381368812,1.9029651463274133,0.3383847779782513,0.20341187751376114,0.6011259688721424,0.7965881224862389,0.9237157676518106,14,423758,375212,33.102261741136594,10.812244780707125,19884315966.49539,[ 1.11935111  1.59919948 -4.12947845],"[[ 0.27888423  0.42253682  0.86237244]
 [ 0.45511221 -0.84890602  0.26875909]
 [ 0.84563377  0.31752356 -0.42904816]]"
object_73,5.150656475092286,4.408589711456823,1.819754136160891,0.8559277313049368,0.35330528156185875,0.4127746638413198,0.6466947184381413,0.30552472738432307,6,469439,419089,36.24300498652147,7.423169896281459,22621018743.471115,[-1.07168573 -0.54770786  0.86780058],"[[-0.91423511 -0.12745873 -0.38461465]
 [-0.1860636   0.97529626  0.11906946]
 [ 0.35993679  0.18042027 -0.91536552]]"
object_75,4.657742489826889,4.319502642210268,1.5793102035264694,0.9273811619351262,0.33907203049028295,0.3656231595029988,0.660927969509717,0.15814622722250996,5,608285,539196,28.053991512275363,7.313956844730153,29551212690.937355,[0.26350035 0.14708164 0.69745478],"[[-0.11916504  0.5849638  -0.80225747]
 [-0.66480836 -0.64715491 -0.37312246]
 [ 0.73744799 -0.48888432 -0.46600707]]"
