x,y,z
2.2965038024952524,-0.1530291933584036,0.7491171138097995
2.282588628508745,-0.06915172116515622,0.6623459470449754
1.9655574662364963,-0.4765580093151015,0.17153646112543725
2.379187838145127,-0.5788108797689809,0.3092715428221769
2.3431458212292906,-0.47421035492084634,0.10191204904534451
1.9565069764186103,-0.8017784145550606,-0.4116568038242295
2.40688685115755,-0.7151359154026242,-0.6922289968890698
2.4664424930882483,-0.40862304314021025,-0.3175637439885446
1.1784235885811598,-0.587606006013049,0.5057800016019505
0.917670043429051,-0.5097047005733664,0.6581201695409832
0.9297980304159656,-0.6222639953367306,0.3887574722892485
0.8519269253252673,-0.5560164010090513,0.38191183978964827
0.9024305812107155,-0.5506008463561441,0.3723026276893633
0.9336848163985068,-0.5928810912229475,0.29225619651918977
0.9478646182396298,-0.5896630219620133,0.34319020069641437
0.9785684716707493,-0.6144852827656175,0.30268910932462795
0.9500370586246797,-0.5807601314499364,0.29685911693878597
0.9666031587467071,-0.4819233962204303,0.31672959381761573
0.9709695053959353,-0.4822527678360792,0.30812676927619465
1.1026570322748475,-0.5489903932231194,0.48096412136353694
1.02192831132545,-0.5701394047991074,0.5145000706101986
1.0531069981528176,-0.6826443890093616,0.5042352392951093
1.0466036019024905,-0.6056924063492892,0.39805362595300636
1.0395539984440922,-0.6024737720103939,0.396046574068544
0.9686419233089001,-0.664745826644295,0.39660897127119854
1.0277705275595868,-0.7490718295043353,0.3551647217003523
0.9682717927012985,-0.7552867553975621,0.46181293759985587
0.9723459914010223,-0.7532568308919598,0.4352136184477727
0.976093812266547,-0.7618304532677384,0.42928912668348473
0.9478975196667453,-0.7549234871362603,0.4123246986459731
0.9288972943145312,-0.6562535961453698,0.41701440462630496
0.9100341971712466,-0.6592311859145347,0.4770997996905211
1.0432965436834987,-0.737480412162773,0.6309827716321412
0.965298855182493,-0.7931120977899871,0.5331258172647745
1.0089185807619079,-0.8708257620547738,0.5028595358803436
1.0404858784795616,-0.8180495920450441,0.4956510470364257
1.0406628396428483,-0.8037961920132901,0.45740547304005685
0.9886718134558763,-0.7577094219466265,0.45441339484366083
1.1225680002231728,-0.7824688423126929,0.46451933671882745
1.1385308116494943,-0.8087544782898853,0.4579660898334009
1.1657425816907048,-0.6363080781477419,0.48169309042925273
1.2032014038351233,-0.7695875627063304,0.6046034100513936
1.2256166702044804,-0.8842090752089088,0.5318293623407417
1.1377343521692087,-0.9565624666572301,0.48425700280393996
1.0875985988000578,-0.8477266527645537,0.5004322060515718
1.3000905207030578,-0.7183873945505647,0.6496448033567205
1.2112821986948477,-0.5884594402056905,0.6311688846140316
1.3072999769275822,-0.6853674289366687,0.7077205341190103
1.3186145132279115,-0.6877343422374028,0.7110339901612582
1.1969247596389407,-0.7649400203333205,0.8784914278414632
1.214042168054141,-0.6915874158715333,0.9463991114251489
1.2701402283213041,-0.6346540748413991,0.8921825127989648
1.2279043386063073,-0.4301997624534023,0.8605671745490393
1.2319603332810753,-0.4469421315751542,0.91880231280311
1.2104477009413268,-0.45572540172403747,0.9301033780461844
1.2540656600381188,-0.4663825535128113,1.0604425052420419
1.2967036224742647,-0.39635931972975486,0.9821421158147363
1.4649623357478394,-0.5043185949106253,0.9697031806476581
1.3339986108559363,-0.5096242504395563,1.1190728317720544
1.380068940834115,-0.49638789719969534,1.097648097197553
1.3482521543476187,-0.37504811695477086,0.9929968856996346
1.1366702637876096,-0.30756695942453266,1.0195629653425446
1.1374420465600972,-0.31134911654163244,1.015617031286723
1.276446029307657,-0.17714324996523487,0.9277458037924701
1.3010444990867274,-0.07058093937235871,1.0000933384185
1.2898964727556377,-0.09383023926963523,1.0256651184787118
1.1668244262302692,-0.10013894514697627,1.0113566593818093
1.1284519543248435,-0.1453435106674965,1.1492636886539478
1.1686955627512219,-0.16717589639557348,1.0221632019415434
1.103810993432985,-0.21494968857590135,0.9012690953285345
1.1445486933051774,-0.27473941260121026,0.92658054050109
1.1528800476668835,-0.2735694759043783,0.9295171251212586
1.1203260897878506,-0.4690259384687322,0.7941730571619361
1.1079532214168162,-0.30882822330926407,0.9564101930319786
1.1105194202703488,-0.35372314902517205,0.9157445401173265
1.1098687456769365,-0.33982703593149044,0.9275005522707074
1.1491804790458073,-0.36385531488003087,0.8961892699516667
1.1693647055876464,-0.35540952604207,0.9746170613597089
1.208410714398964,-0.45563706001454934,0.7937926951526667
1.17825710538914,-0.43484333459218893,0.7862328486521781
1.2193601765913926,-0.43015934608995804,0.8261279519936762
1.1955661632102426,-0.3801489478233296,0.8555623384495237
1.1672894538016716,-0.36050994916221957,0.8210468995892951
1.07784133538159,-0.24937651841113587,0.7561130624255101
1.1445777550392555,-0.21786335731758105,0.786033488537063
1.1393461534016305,-0.23165198262222753,0.7813761040697611
1.1221430201722111,-0.26237216446553097,0.8297377607279205
1.2841396394924434,-0.24936234408145067,0.7378547491358426
1.2831068268201808,-0.20668848268116344,0.6671773790042816
1.4521437831392874,-0.15328609799387333,0.751078603077966
1.4577593156410877,-0.16995677478245916,0.7620534466985032
1.3927536727548882,-0.27566828860982856,0.6609775913305047
1.3905688069596869,-0.2755770027708908,0.658058221308035
1.3803702092289662,-0.2720410485353653,0.643137795870006
1.3637875408200872,-0.32373854322262374,0.6044264917088504
1.3924614733619345,-0.27048501296318994,0.5353877245429427
1.4009772557614684,-0.24090337018935698,0.5638870970168279
1.418677995183583,-0.25058797531809324,0.5634310760411231
1.4073787621484832,-0.24847028913775315,0.5759359232783638
1.3953482901853898,-0.24099850547108498,0.6352872320561559
1.4177786972335884,-0.26355854318832095,0.6573770849675538
1.4229738491480513,-0.09251639183275805,0.6946034331342892
1.4126662036323723,-0.11208526826807559,0.7957343106237347
1.458727373265283,-0.16059714095815691,0.7672080518900865
1.4655020941595442,-0.1580591536237243,0.7722978096218251
1.4360601824682757,-0.25851897962666726,0.8711456944078626
1.4658540907185749,-0.2459331405207953,0.8632615987619523
1.4617125723963151,-0.2428048473451559,0.8721504019145383
